id,origin,normalize,predict
6752284,app+area+area 51+area chart+area code+create+create account+create new+friends+friendsgiving+friendship+friends list+friends of type+hanging+helps+ios+johnyvino+mobile+ui+ux,friends+ui+create+friends of type+create account+ios+website+johnyvino+hanging+area+create new+mobile+friends list+friendship+helps+ux+area chart+friendsgiving+area 51+area code,mobile+website
6026937,access+add new user+all users+block+button+fraud+grid+list+login+login form+logour+notify+plan+plan page+stats+user,block+login form+button+grid+stats+signup+notify+list+plan page+access+plan+logour+user+fraud+add new user+all users,mobile+grid
6021010,3d+album+animation+app+artist+camera+card+clean+dof+flat+interface+ios+list+mac+material+motion+music+player+shadow+ui,ui+motion+interface+list+dof+album+ios+3d+camera+mobile+material+artist+player+animation+shadow+flat+mac+music+card+simple,mobile+music
3940119,app+contact+friends+ios+list+mobile+send+signup+tickets+ui+ux,friends+send+contact+ui+mobile+ux+signup+list+tickets+ios+website,mobile+website
6462511,app+cooking+course+design+favourite+flat+food+list+ui+ux+vector+white,cooking+ui+mobile+flat+ux+course+list+design+favourite+vector+food+white,mobile+food+white
5992896,add card+app design+banking+banking app+card list+financial app+ios design+ui+ux design,add card+ui+ux design+card list+mobile+ios design+financial app+finance,mobile+finance
6425559,app+art+blue+branding+cards+clean+design+graphic design+illustration+landing+list+logo+main page+material+swiss+typography+ui+ux+vector+vibrant,ui+branding+list+design+main page+mobile+illustration+ux+material+cards+vibrant+swiss+graphic design+blue+logo+art+landing+typography+vector+simple,mobile+blue
6258175,app+cards+clean+dark+design+fashion+flat+graphic design+list+main page+mobile+swiss+ui+ux+vibrant,black+swiss+ui+main page+mobile+flat+ux+fashion+cards+list+graphic design+design+vibrant+simple+website,mobile+website+music+black
6724065,app+card+clean+details+gallery+list+menu+mobile+price+profile+search+tour+ui+video,price+ui+search+menu+mobile+tour+gallery+details+list+profile+video+card+simple+website,mobile+website+profile
6832000,app+booking+clean+date+description+details+filter+hotel+list+map+message+mobile+order+price+reserve+search+travel+trip+ui,price+travel+booking+ui+search+message+mobile+date+reserve+filter+details+map+list+order+description+simple+website+hotel,mobile+website+travel
5938565,app+app branding+application+booking+feed+ios+list+massage+mobile+patern+profile+ui+ui design+user interface+user interface design+ux,booking+patern+ui+feed+mobile+app branding+massage+ux+list+profile+ios+website,mobile+website+profile
5800625,breed+calendar+dog+groomer+list+mobile+payment+pet+summary+swipe+ui+user experience+user interface+ux,groomer+ui+dog+swipe+mobile+checkout+pet+ux+calendar+list+breed+summary+user experience+website,mobile+website+checkout
3454788,android+app+clean+diy+ios+iphone+list+profile+screen+splash+tutorial,diy+android+mobile+screen+tutorial+list+splash+profile+simple+ios,mobile+profile
6051145,logo+mark+to do list,logo+mark+to do list,mobile
6378490,app+contract+contractbook+contracts+drafts+intercom+ios+list+list mobile+list view+mobile+mobile pricing+pricing+signing+store+ui+ux,pricing+ui+mobile pricing+intercom+mobile+ux+store+contracts+drafts+list+list view+contract+signing+list mobile+contractbook+ios+website,mobile+website
6235586,app+clean+data+ios+list+minimal+minimal app+music+music artist+music player+player+player ui+profile+stat+typography+ui+ux+web,player ui+ui+data+mobile+minimal app+stat+ux+typography+music+music artist+list+player+profile+simple+ios+website,mobile+website+profile+music
6689318,android app+app+app concept+app design+app designer+app development+creation+design+iphone app design+iphone app development company+meetings+photoshop+task list+task management+task manager+tasks+ui+ux,creation+task management+ui+iphone app development company+tasks+mobile+task manager+ux+task list+app development+iphone app design+design+app designer+meetings+app concept+photoshop,mobile
